code_nacres,designation,code_fournisseur,prix_ht,condt,nb_unites,prix_unitaire,marque,fournisseur,catalogue_date,page
,Ammonium nitrate,A0501.5000,63.2,5 kg,1,63.2,Duchefa Biochemie,DUCHEFA,2010-2012,82
,Ammonium nitrate,A0501.9025,215.6,25 kg,1,215.6,Duchefa Biochemie,DUCHEFA,2010-2012,82
,Ammonium sulphate,A0502.1000,14.1,1 kg,1,14.1,Duchefa Biochemie,DUCHEFA,2010-2012,82
,Ammonium sulphate,A0502.5000,54.3,5 kg,1,54.3,Duchefa Biochemie,DUCHEFA,2010-2012,82
,Ammonium chloride,A0528.1000,15.9,1 kg,1,15.9,Duchefa Biochemie,DUCHEFA,2010-2012,81
,Aluminium chloride hexahydrate,A0532.0025,8.7,25 g,1,8.7,Duchefa Biochemie,DUCHEFA,2010-2012,81
,Aluminium chloride hexahydrate,A0532.0100,17.3,100 g,1,17.3,Duchefa Biochemie,DUCHEFA,2010-2012,81
,p-Aminobenzoic acid,A0601.0025,11.1,25 g,1,11.1,Duchefa Biochemie,DUCHEFA,2010-2012,81
,p-Aminobenzoic acid,A0601.0100,17.0,100 g,1,17.0,Duchefa Biochemie,DUCHEFA,2010-2012,81
,L-Ascorbic acid,A0602.0100,9.4,100 g,1,9.4,Duchefa Biochemie,DUCHEFA,2010-2012,84
,L-Ascorbic acid,A0602.0250,15.9,250 g,1,15.9,Duchefa Biochemie,DUCHEFA,2010-2012,84
,L-Ascorbic acid,A0602.1000,50.6,1 kg,1,50.6,Duchefa Biochemie,DUCHEFA,2010-2012,84
,L-Alanine,A0703.0025,10.0,25 g,1,10.0,Duchefa Biochemie,DUCHEFA,2010-2012,81
,L-Alanine,A0703.0100,33.2,100 g,1,33.2,Duchefa Biochemie,DUCHEFA,2010-2012,81
,L-Arginine,A0704.0025,8.3,25 g,1,8.3,Duchefa Biochemie,DUCHEFA,2010-2012,84
,L-Arginine,A0704.0100,17.5,100 g,1,17.5,Duchefa Biochemie,DUCHEFA,2010-2012,84
,L-Arginine,A0704.0500,60.6,500 g,1,60.6,Duchefa Biochemie,DUCHEFA,2010-2012,84
,L-Arginine,A0704.1000,101.9,1 kg,1,101.9,Duchefa Biochemie,DUCHEFA,2010-2012,84
,L-Aspartic acid,A0705.0100,10.6,100 g,1,10.6,Duchefa Biochemie,DUCHEFA,2010-2012,84
,L-Aspartic acid,A0705.0500,38.4,500 g,1,38.4,Duchefa Biochemie,DUCHEFA,2010-2012,84
,L-Asparagine monohydrate,A0725.0025,7.0,25 g,1,7.0,Duchefa Biochemie,DUCHEFA,2010-2012,84
