type,action,index_source,consommable,marque,reference,code_nacres,ancien_prix_conditionnement,ancien_prix_ht_ijm,code_ijm,score_match
solide,catalogue_ijm_ligne_separee,,"TRIS -Glycine SDS Solution 10X 2,5 litres",EUROMEDEX,C0647,NA25,,27.39,C0647,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,AMMONIUM ACÉTATE NP 1Kg,PROLABO,C013,NA21,,14.18,C013,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,AMMONIUM CHLORURE NP 1Kg,PROLABO,C0131,NA21,,25.06,C0131,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,AMMONIUM SULFATE NP 1Kg,PROLABO,C014,NA21,,20.44,C014,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,GALACTOSE Low Glucose and Lactose 1Kg,EUROMEDEX,C0141,NA21,,278.31,C0141,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,CALCIUM CHLORURE NP 1Kg,PROLABO,C022,NA21,,20.6,C022,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,DTT (Purity: 99%) 25g,EUROMEDEX,C034,NA25,,110.96,C034,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,GLUCOSE D(+) Anhydre GPR Rectapur 1Kg,PROLABO,C030,NA21,,19.8,C030,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,GLUCOSE 1Kg,EUROMEDEX,C030A,NA21,,26.38,C030A,
solide,catalogue_ijm_ligne_separee,,"GLYCEROL BI-DISTILLE 99,5% NP 1 litre",PROLABO,C031,NA25,,16.26,C031,
solide,catalogue_ijm_ligne_separee,,GLYCEROL High Purity 1 litre,EUROMEDEX,C032,NA25,,35.1,C032,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,GLYCINE PA 1Kg,EUROMEDEX,C0312,NA26,,32.9,C0312,
solide,catalogue_ijm_ligne_separee,,GLYCOGEN 20mg/ml,ROCHE,C0311,NA21,,118.13,C0311,
solide,catalogue_ijm_ligne_separee,,"GLYCOGEN 20mg/ml (2x0,25ml)",EUROMEDEX,C0313,NA21,,104.0,C0313,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,IPTG Dioxane free 5g,EUROMEDEX,C0321,NA55,,25.52,C0321,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,KANAMYCIN MonoSULFATE 25g,EUROMEDEX,C015,NA76,,95.5,C015,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,MAGNÉSIUM CHLORURE HEXAHYDRATE PA 250g,MERCK,C074,NA21,,19.26,C074,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,MAGNÉSIUM CHLORIDE HEXAHYDRATE 250g,EUROMEDEX,C0741,NA21,,16.26,C0741,
