code_nacres,designation,code_ijm,prix_ht,condt,nb_unites,prix_unitaire,marque,page
NB13,PLAQUES de CULTURE SPL 96 Puits,P06771N,0.87,1,1,0.87,SPL,20
NB13,PLAQUES de CULTURE SPL 96 Puits FOND ROND,P06771R,0.95,1,1,0.95,SPL,20
NB13,"BOITES de CULTURE ""NUNC"" 4 Puits (x4)",P0675N,5.03,1x4,4,1.2575,NUNC,20
NB13,"PLAQUES de CULTURE ""NUNC"" 48 Puits",P0678,1.71,1,1,1.71,NUNC,20
NB13,"PLAQUES de CULTURE ""TPP"" 6 Puits",P0675,1.71,1,1,1.71,TPP,20
NB13,"PLAQUES de CULTURE ""TPP"" 12 Puits",P0676,1.71,1,1,1.71,TPP,20
NB13,"PLAQUES de CULTURE ""TPP"" 24 Puits",P0677,1.71,1,1,1.71,TPP,20
NB13,"PLAQUES de CULTURE ""TPP"" 96 Puits",P06771,1.58,1,1,1.58,TPP,20
NB13,"FLACONS de CULTURE ""SPL"" CAP filtrant, 25cm2 (x10)",P0651F,3.85,1x10,10,0.385,SPL,21
NB13,"FLACONS de CULTURE ""SPL"" CAP filtrant, 75cm2 (x5)",P0652F,3.73,1x5,5,0.746,SPL,21
NB13,"FLACONS de CULTURE ""SPL"" CAP filtrant, 175cm2 (x5)",P0653F,7.47,1x5,5,1.494,SPL,21
NB13,"FLACONS de CULTURE ""NUNC"" TRIPLE FLASK CAP Filtrant 380ml - 500cm2 (x1)",P0455F,4.75,1,1,4.75,NUNC,21
NB13,"FLACONS de CULTURE ""TPP"" CAP 2 positions, 25cm2 (x10)",P0351,6.74,1x10,10,0.674,TPP,21
NB13,"FLACONS de CULTURE ""TPP"" CAP 2 positions, 75cm2 (x5)",P0352,6.43,1x5,5,1.286,TPP,21
NB13,"FLACONS de CULTURE ""TPP"" CAP 2 positions, 150cm2 (x3)",P0353,8.28,1x3,3,2.76,TPP,21
NB13,"FLACONS de CULTURE ""TPP"" CAP filtrant, 25cm2 (x10)",P0351F,7.18,1x10,10,0.718,TPP,21
NB13,"FLACONS de CULTURE ""TPP"" CAP filtrant, 75cm2 (x5)",P0352F,6.77,1x5,5,1.354,TPP,21
NB13,"FLACONS de CULTURE ""TPP"" CAP filtrant, 150cm2 (x3)",P0353F,8.7,1x3,3,2.9,TPP,21
NB13,"GRATTOIR de CELLULES Stérile ""TPP"" Long 24cm - Lame 12mm",D121,1.36,1,1,1.36,TPP,21
NB13,"GRATTOIR de CELLULES Stérile ""TPP"" Long 30cm - Lame 20mm",D122,1.55,1,1,1.55,TPP,21
NB13,"GRATTOIR de CELLULES Stérile ""TPP"" Long 38cm - Lame 25mm",D123,2.11,1,1,2.11,TPP,21
NB13,"GRATTOIR de CELLULES Standard, Stérile, Long 18cm - Lame 18mm",D121A,0.37,1,1,0.37,DUTSCHER,21
NB13,"GRATTOIR de CELLULES Standard, Stérile, Long 25cm - Lame 18mm",D122A,0.24,1,1,0.24,DUTSCHER,21
NB02,"POINTES sans filtre ""GILSON"" D10 0,1-10µl",P021,45.94,10x96,960,0.047854,GILSON,22
NB02,"POINTES sans filtre ""GILSON"" D200 2-200µl",P0190,38.81,10x96,960,0.040427,GILSON,22
NB02,"POINTES sans filtre ""GILSON"" D1000 200-1000µl",P0171,41.17,10x96,960,0.042885,GILSON,22
NB02,"POINTES sans filtre ""GILSON"" 5000µl sur portoir",P1500,8.97,1x50,50,0.1794,GILSON,22
NB02,POINTES LONGUES CRISTAL GEL LOADING 1-200µl (Vrac x1000),P1200A,47.08,1x1000,1000,0.04708,FISHERBRAND,22
NB02,POINTES LONGUES CRISTAL GEL LOADING 1-200µl (Rack x204),P1200G,13.95,1x204,204,0.068382,UGAP,22
NB02,"POINTES sans filtre ""CLEARLINE"" sur recharge, transp graduée 10µl",P0807,30.71,10x96,960,0.03199,CLEARLINE,22
NB02,"POINTES sans filtre ""CLEARLINE"" sur recharge, jaune, graduée 200µl",P0808,30.43,10x96,960,0.031698,CLEARLINE,22
NB02,"POINTES sans filtre ""CLEARLINE"" sur recharge, transp, graduée 1000µl",P0809,31.63,8x96,768,0.041185,CLEARLINE,22
NB02,"POINTES sans filtre ""CLEARLINE"" sur recharge, transp, graduée 1250µl",P0810,32.21,8x96,768,0.04194,CLEARLINE,22
NB02,"POINTES ""STARLAB"" sur recharge, transp 0,1-10µl",P0802,28.02,10x96,960,0.029187,STAR LAB,22
NB02,"POINTES ""STARLAB"" sur recharge, jaunes biseautées 1-200µl",P0804,25.43,10x96,960,0.02649,STAR LAB,22
NB02,"POINTES ""STARLAB"" sur recharge,bleues graduées 100-1000µl",P0805,33.07,10x96,960,0.034448,STAR LAB,22
NB02,"POINTES ""STARLAB"" sur recharge,bleues graduées 100-1250µl",P0806,31.95,10x96,960,0.033281,STAR LAB,22
NB02,"POINTES sans filtre ""STARLAB"" sur rack, transp 0,1-10µl",P0812,37.46,10x96,960,0.039021,STAR LAB,22
NB02,"POINTES sans filtre ""STARLAB"" sur rack, jaunes biseautées 1-200µl",P0814,33.87,10x96,960,0.035281,STAR LAB,22
NB02,"POINTES sans filtre ""STARLAB"" sur rack, bleues graduées 100-1000µl",P0815,49.86,10x96,960,0.051937,STAR LAB,22
NB02,"POINTES sans filtre ""STARLAB"" sur rack, transp graduées 100-1250µl",P0816,52.53,10x96,960,0.054719,STAR LAB,22
NB05,"COMBITIPS PLUS 0,2ml non stérile (Incrément mini 2µl, max 40µl)",P139,104.77,1x100,100,1.0477,EPPENDORF,22
NB05,"COMBITIPS PLUS 0,5ml non stérile (Incrément mini 5µl, max 100µl)",P140,104.77,1x100,100,1.0477,EPPENDORF,22
NB05,"COMBITIPS PLUS 1ml non stérile (Incrément mini 10µl, max 200µl)",P141,104.77,1x100,100,1.0477,EPPENDORF,22
NB05,"COMBITIPS PLUS 2,5ml non stérile (Incrément mini 25µl, max 500µl)",P142,104.77,1x100,100,1.0477,EPPENDORF,22
NB05,"COMBITIPS PLUS 5ml non stérile (Incrément mini 50µl, max 1000µl)",P143,104.77,1x100,100,1.0477,EPPENDORF,22
NB05,"COMBITIPS PLUS 10ml non stérile (Incrément mini 100µl, max 2000µl)",P144,104.77,1x100,100,1.0477,EPPENDORF,22
NB02,"POINTES à FILTRE ""ART"" Low Retention 0,1-10µl Reach",P110R,42.47,10x96,960,0.04424,ART,22
NB02,"POINTES à FILTRE ""ART"" Low Retention 0,5-20µl",P120,44.3,10x96,960,0.046146,ART,22
NB02,"POINTES à FILTRE ""ART"" Low Retention 1-100µl",P1100,41.75,10x96,960,0.04349,ART,22
NB02,"POINTES à FILTRE ""ART"" Low Retention 1-200µl",P1200,41.25,10x96,960,0.042969,ART,22
NB02,"POINTES à FILTRE ""ART"" Low Retention 100-1000µl",P1000,51.48,8x100,800,0.06435,ART,22
NB02,"POINTES à FILTRE ""ART"" Low Retention 100-1000µl Reach",P1000R,47.94,8x100,800,0.059925,ART,22
NB02,"POINTES à FILTRE ""CLEARLINE"" Low Binding 10µl XL Reach",P018,47.76,10x96,960,0.04975,CLEARLINE,22
NB02,"POINTES à FILTRE ""CLEARLINE"" Low Binding 20µl",P019,47.41,10x96,960,0.049385,CLEARLINE,22
